cluster,n,area_mean,area_median,compact_mean,ecc_mean,aspect_mean,edge_mean,maskfrac_mean,crop_h_mean,crop_w_mean
-1,68,78.54411764705883,65.0,0.009018175945257872,0.8243296927008937,1.2969551935526442,0.2220498522733352,0.2831865443174313,41.029411764705884,40.470588235294116
0,398,70.09798994974874,50.5,0.3453023404707855,0.8407750824747909,1.435707303266427,0.1840333055282128,0.08472406858416182,41.085427135678394,43.2713567839196
1,31,63.29032258064516,71.0,0.005306141390147988,0.5388065374226731,0.9771504338192425,0.23097296966933345,0.2964476087039986,41.806451612903224,39.645161290322584
2,95,1104.7157894736843,903.0,0.034217694560166295,0.7891378359163752,1.057069502509224,0.16980118347400092,0.441919799169758,79.14736842105263,72.89473684210526
3,47,291.25531914893617,254.0,0.060943632510409323,0.3965859364376959,0.9917919979134814,0.1942346767770021,0.31674026348921736,51.319148936170215,49.851063829787236
4,46,65.67391304347827,68.0,0.007985613556410648,0.8269961191374473,1.4363932675736184,0.22223318009380014,0.23875005752248593,40.19565217391305,43.630434782608695
5,62,82.75806451612904,82.0,0.004726601232598269,0.9153797789429056,2.076875329647316,0.23957109287291026,0.32710500354070976,42.61290322580645,43.596774193548384
6,236,298.51271186440675,270.0,0.024734586685380817,0.8122818003751241,1.0080378016435092,0.1872823852299405,0.38375927641138047,48.220338983050844,45.95762711864407
7,80,154.4125,151.0,0.02639061704984528,0.8749081850982309,2.293349147009713,0.18012935307022374,0.3128100293681558,37.725,44.625
8,136,97.86764705882354,86.5,0.009682420627331193,0.8627359066359074,1.010731009400795,0.2332560860856655,0.30281272224583405,41.77205882352941,41.73529411764706
9,31,54.935483870967744,59.0,0.010442439828611216,0.9208836812547038,0.5893527042883733,0.2213158114055113,0.21302529582625682,41.16129032258065,40.29032258064516
10,151,79.06622516556291,75.0,0.01146609757982205,0.8986918331453937,0.5772763231188484,0.21422418258217718,0.27727172201883565,41.25165562913907,37.450331125827816
